drug_1,drug_2,similarity
22R-HYDROXYCHOLESTEROL,24(S)-HYDROXYCHOLESTEROL,0.7544
ASPARTIC ACID,[3H]D-ASPARTIC ACID,1.0
[3H]CGS8216,CGS8216,1.0
SOMATORELIN,NEUROPEPTIDE S,0.7414
SOMATORELIN,TESAMORELIN,0.8898
SOMATORELIN,GLUCAGON (RDNA),0.7239
SOMATORELIN,GLUCAGON HYDROCHLORIDE,0.7185
SOMATORELIN,MOTILIN,0.7538
SOMATORELIN,ALBIGLUTIDE,0.7368
SOMATORELIN,PACAP-38,0.7752
SOMATORELIN,SERMORELIN,0.964
SOMATORELIN,"[ALA11,22,28]VIP",0.7984
SOMATORELIN,GLUCAGON-LIKE PEPTIDE 2-(3-33),0.7344
SOMATORELIN,GLP-2 ANALOGUE 10,0.7293
SOMATORELIN,NERINETIDE,0.7193
SOMATORELIN,SERMORELIN ACETATE,0.9554
SOMATORELIN,TESAMORELIN ACETATE,0.8908
SOMATORELIN,GLUCAGON-LIKE PEPTIDE 2,0.7185
FOSDAGROCORAT,DAGROCORAT,0.7662
[3H]DIZOCILPINE,DIZOCILPINE,1.0
[3H]CGS19755,SELFOTEL,1.0
D-PHENYLALANINE,PHENYLALANINE,1.0
D-PHENYLALANINE,TYROSINE,0.7037
D-PHENYLALANINE,TYROSINE HYDROXYLASE INHIBITOR,0.7037
(R)-N-OLEOYLTYROSINOL,(S)-N-OLEOYLTYROSINOL,1.0
DIM,INDOLE-3-CARBINOL,0.72
DIM,ARUNDINE,1.0
KI16425,AM966,0.7538
EUPAFOLIN,PECTOLINARIGENIN,0.7727
EUPAFOLIN,EUPATORIN,0.7021
NARINGENIN,ISOSAKURANETIN,0.7619
NARINGENIN,PINOCEMBRIN,0.8158
NARINGENIN,SAKURANETIN,0.7381
ALLOIN,ALOIN,1.0
DEURUXOLITINIB,RUXOLITINIB PHOSPHATE,0.9091
AZ960,COMPOUND 1D [PMID: 21493067],0.7818
XL019,XL-019,1.0
FARNESYL MONOPHOSPHATE,FARNESYL DIPHOSPHATE,0.7647
FARNESYL MONOPHOSPHATE,GERANYLGERANYL DIPHOSPHATE,0.7647
FARNESYL MONOPHOSPHATE,GERANYL DIPHOSPHATE,0.7353
DENFIVONTINIB,DENFIVONTINIB HYDROCHLORIDE,0.9833
"(S)-3,4-DCPG",(S)-4C3HPG,0.7333
CORTICOSTERONE,ALDOSTERONE,0.7679
CORTICOSTERONE,DESOXYCORTICOSTERONE,0.7222
S26131,S26284,0.95
S26131,CBOBNEA,0.76
LY 156735,TIK-301,1.0
NALTRINDOLE,5'-GUANIDINONALTRINDOLE,0.7397
NALTRINDOLE,NALTRIBEN,0.7353
[3H]CYTISINE,CYTISINE,1.0
NEUROPEPTIDE S,NOCICEPTIN/ORPHANIN FQ,0.7379
NEUROPEPTIDE S,SERMORELIN,0.7544
NEUROPEPTIDE S,SERMORELIN ACETATE,0.7478
2MESATP,2MESAMP,0.7619
2MESATP,[33P]2MESADP,0.7424
BX 667,BX 048,0.8955
DIQUAFOSOL,MRS2782,0.7451
DIQUAFOSOL,UDP-GALACTOSE,0.7679
DIQUAFOSOL,UDP-GLUCURONIC ACID,0.7288
DIQUAFOSOL,URIDINE MONOPHOSPHATE,0.8085
DIQUAFOSOL,URIDINE 5'-TRIPHOSPHATE,0.9362
DIQUAFOSOL,MRS2802,0.7358
DIQUAFOSOL,MRS2957,0.7719
DIQUAFOSOL,URIDINE-5'-DIPHOSPHATE,0.8936
DIQUAFOSOL,4-THIO-UTP,0.7547
DIQUAFOSOL,UDP-GLUCOSE,0.7679
DIQUAFOSOL,2-THIOUTP,0.7547
DIQUAFOSOL,UP3U,0.7451
DIQUAFOSOL,2-THIO-UDP,0.717
DIQUAFOSOL,INS48823,0.7333
8S-HETE,5S-HETE,0.7805
8S-HETE,[3H]LTB4,0.7381
8S-HETE,12-EPI LTB4,0.7381
8S-HETE,15S-HETE,0.7805
8S-HETE,LTB4,0.7381
8S-HETE,12S-HETE,1.0
8S-HETE,12R-HETE,1.0
PEPTIDE 18 [PMID: 24350995],PHENYLACETYL-ARG-VAL-ARG-4-AMIDINOBENZYLAMIDE,0.7042
TEGEPROTAFIB,COMPOUND 182 [PMID: 37500611],0.7069
FOLIC ACID,FOLATE RECEPTOR-TARGETED VINCA ALKALOID EC0489,1.0
FOLIC ACID,FOLATE ANTAGONIST,1.0
JK1,COMPOUND 7A [PMID: 33730669],1.0
MARALIXIBAT,SC-435,0.7317
MARALIXIBAT,MARALIXIBAT CHLORIDE,0.9857
BIM 23068,BIM 23313,0.7439
BIM 23068,BIM 23056,0.7442
BIM 23068,MEN 10376,0.7229
BIM 23068,BIM 23052,0.8784
BIM 23068,BIM 23295,0.8049
BIM 23068,BIM 23058,0.8961
FLUPROSTENOL,TRAVOPROST,0.8116
NPY-(13-36) (PIG),NPY-(2-36),0.7606
NPY-(13-36) (PIG),NPY-(22-36) (PIG),0.7876
NPY-(13-36) (PIG),NPY-(3-36) (PIG),0.7071
NPY-(13-36) (PIG),PG 97-269,0.712
NPY-(13-36) (PIG),"PYY-(13-36) (MOUSE, RAT, PIG)",0.7222
NPY-(13-36) (PIG),K31440,0.7311
NPY-(13-36) (PIG),NPY-(20-36) (PIG),0.8053
NPY-(13-36) (PIG),"NPY-(18-36) (HUMAN, PIG)",0.8198
NPY-(13-36) (PIG),[125I]BAY 55-9837,0.7339
NPY-(13-36) (PIG),NPY-(16-36) (PIG),0.8053
PAN-RAF INHIBITOR LY3009120,LY3009120,1.0
PAN-RAF INHIBITOR LY3009120,LY-3009120,1.0
WARFARIN,WARFARIN POTASSIUM,0.75
WARFARIN,PHENPROCOUMON,0.7317
WARFARIN,WARFARIN SODIUM,0.75
AEE788,AEE-788,1.0
QUERCETIN,QUERCETAGETIN,0.7179
QUERCETIN,GALANGIN,0.7179
QUERCETIN,QUERCETIN DIHYDRATE,0.9714
QUERCETIN,TAMARIXETIN,0.7209
RIGOSERTIB,RIGOSERTIB SODIUM,0.8113
P53-HDM2 INTERACTION INHIBITOR MI-773,SAR-405838,1.0
TRILACICLIB,LEROCICLIB,0.8438
TRILACICLIB,TRILACICLIB DIHYDROCHLORIDE,0.9831
NIFURALDEZONE,NIHYDRAZONE,0.7073
NIFURALDEZONE,NITROFURAZONE,0.7949
DICLOFENAC EPOLAMINE,DICLOFENAC ETALHYALURONATE SODIUM,0.7073
VORAPAXAR,VORAPAXAR SULFATE,0.9467
MILNACIPRAN,LEVOMILNACIPRAN,1.0
MILNACIPRAN,MILNACIPRAN HYDROCHLORIDE,0.9722
CHLOROQUINE,HYDROXYCHLOROQUINE SULFATE,0.7818
OXYTETRACYCLINE HYDROCHLORIDE,OXYTETRACYCLINE CALCIUM,0.8387
LEVOMETHADONE,ESMETHADONE,1.0
EFLORNITHINE,EFLORNITHINE HYDROCHLORIDE,0.9583
NEUROTENSIN,THR10CONTULAKIN-G,0.7667
NEUROTENSIN,CONTULAKIN-G,0.7667
PRT-2607,P505-15,1.0
K185,IIK7,0.8033
FLURBIPROFEN,FLURBIPROFEN SODIUM,0.7568
W146,VPC44116,1.0
W146,VPC23019,0.7222
ENDRIN,DIELDRIN,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC GLUCOCORTICOID,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC CORTICOSTEROID,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC HORMONE,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC GONADOTROPIN,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC AUTOLOGOUS DENDRITIC CELLS,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC AUTOLOGOUS LYMPHOCYTES,1.0
THERAPEUTIC ANDROGEN,THERAPEUTIC ESTROGEN,1.0
COMPOUND 21 [PMID: 19191557],COMPOUND 8 [PMID: 19191557],0.7407
BIM 23313,BIM 23052,0.8356
BIM 23313,BIM 23295,0.9324
BIM 23313,BIM 23058,0.7407
IMETELSTAT,IMETELSTAT SODIUM,0.8125
URSODIOL,CHOLIC ACID,0.7778
URSODIOL,GLYCOCHENODEOXYCHOLIC ACID,0.8148
EXENATIDE,MYRCLUDEX B,0.7006
EXENATIDE,CCK-39,0.733
EXENATIDE,GASTRIN-34,0.759
EXENATIDE,TERIPARATIDE,0.717
EXENATIDE,APELIN,0.7143
EXENATIDE,TERIPARATIDE ACETATE,0.717
EXENATIDE,PTHRP-(1-20)/TIP-(23-39) (HUMAN),0.7018
EXENATIDE,DESULFATED GASTRIN-34,0.7412
EXENATIDE,BIROPEPIMUT-S,0.7547
EXENATIDE,AVEXITIDE,0.8654
EXENATIDE,EXENDIN-3,0.8875
EXENATIDE,LIXISENATIDE,0.987
EXENATIDE,GALP(1-32) (HUMAN),0.7011
EXENATIDE,[125I]CT (HUMAN),0.7118
EXENATIDE,HUMAN GIP(3-30)NH2,0.7117
EXENATIDE,KISSPEPTIN-54,0.7257
EXENATIDE,BULEVIRTIDE,0.7006
EXENATIDE,APELIN-36,0.7866
EXENATIDE,SLOTOXIN,0.7246
EXENATIDE,SERACTIDE ACETATE,0.7168
EXENATIDE,APELIN RECEPTOR EARLY ENDOGENOUS LIGAND,0.7143
EXENATIDE,[125I]EXENDIN-(9-39),0.7545
EXENATIDE,SHAAGTIDE,0.7562
EXENATIDE,APRAGLUTIDE,0.7325
EXENATIDE,GLUCAGON-LIKE PEPTIDE 2,0.7628
EXENATIDE,KBP-088,0.7126
DOLASTATIN 10,DOLASTATIN-10,1.0
DOLASTATIN 10,SOBLIDOTIN,0.7283
FLECAINIDE ACETATE,(R)-FLECAINIDE,0.9231
"L-363,301",VELDOREOTIDE,0.7
"L-363,301","L-363,377",0.9333
"L-363,301","L-362,855",0.716
EMATE,ESTROPIPATE,0.7455
EMATE,ESTRONE SULFATE,0.8039
LYSOZYME,BIROPEPIMUT-S,0.7132
LYSOZYME,DYNORPHIN A,0.7385
PENICILLIN V,PENICILLIN V BENZATHINE,0.8519
TERLIPRESSIN,ARGIPRESSIN TANNATE,0.7207
TERLIPRESSIN,DAVP,0.708
RUBITECAN,9-AMINOCAMPTOTHECIN,0.7612
RUBITECAN,AMINOCAMPTOTHECIN,0.7612
SIRTRATUMAB VEDOTIN,VALACYCLOVIR,0.9796
NORETHINDRONE,NORGESTREL,0.717
BISOPROLOL,BISOPROLOL FUMARATE,0.8333
PAROMOMYCIN SULFATE,FRAMYCETIN,0.8696
PAROMOMYCIN SULFATE,NEOMYCIN SULFATE,0.9783
ACETYLDIGOXIN,ACETYLDIGITOXIN,0.825
ACETYLDIGOXIN,DESLANOSIDE,0.7209
ACETYLDIGOXIN,METILDIGOXIN,0.7922
AMIODARONE HYDROCHLORIDE,BUDIODARONE,0.7077
DEMECARIUM BROMIDE,NEOSTIGMINE BROMIDE,0.7179
PHENYLPROPANOLAMINE POLISTIREX,PHENYLPROPANOLAMINE,1.0
PHENYLPROPANOLAMINE POLISTIREX,PHENYLPROPANOLAMINE HYDROCHLORIDE,0.9524
GLUTAMIC ACID,GLUTAMIC ACID HYDROCHLORIDE,0.9474
OZARELIX,CETRORELIX,0.8197
OZARELIX,TEVERELIX,0.752
OZARELIX,[125I]CETRORELIX,0.748
OZARELIX,GANIRELIX ACETATE,0.7364
PONATINIB,COMPOUND 24 [PMID: 23441572],0.7349
PONATINIB,VAMOTINIB,0.7195
RIVOCERANIB,APATINIB,1.0
RIVOCERANIB,RIVOCERANIB MESYLATE,0.9138
RG-2833,RGFP109,1.0
NEUROMEDIN U-8,RFRP-3,0.7816
NEUROMEDIN U-8,FLPLAR,0.7412
NEUROMEDIN U-8,BM213,0.7191
NEUROMEDIN U-8,NEUROPEPTIDE FF,0.8415
NEUROMEDIN U-8,[125I]NPFF,0.8415
NEUROMEDIN U-8,Y-RFRP-3,0.7368
MYRCLUDEX B,GASTRIN-34,0.7089
MYRCLUDEX B,[125I]PSALMOTOXIN 1,0.7025
MYRCLUDEX B,PSALMOTOXIN 1,0.707
MYRCLUDEX B,GALANIN(2-29) (RAT/MOUSE),0.7051
MYRCLUDEX B,LIXISENATIDE,0.7006
MYRCLUDEX B,BULEVIRTIDE,1.0
MYRCLUDEX B,APELIN-36,0.7044
MYRCLUDEX B,[125I][TYR26]GALANIN (HUMAN),0.7208
QUIN-C7,QUIN-C1,0.8596
NEOSTIGMINE BROMIDE,NEOSTIGMINE,0.9677
LUTETIUM LU 177 VIPIVOTIDE TETRAXETAN,VIPIVOTIDE TETRAXETAN,0.8987
PEMETREXED DISODIUM,[3H]PEMETREXED,0.75
JAK2 INHIBITOR AZD1480,AZD-1480,1.0
LY-2780301,GLXC-26326,1.0
1-STEAROYL-LYSOPHOSPHATIDYLCHOLINE,OLEOYL-LYSOPHOSPHATIDYLCHOLINE,0.8776
1-STEAROYL-LYSOPHOSPHATIDYLCHOLINE,1-PALMITOYL-LYSOPHOSPHATIDYLCHOLINE,1.0
ABNORMAL CANNABIDIOL,CANNABIDIOL,0.75
HYDROXYPROGESTERONE,HYDROXYPROGESTERONE CAPROATE (USP),1.0
HYDROXYPROGESTERONE,METHYLTESTOSTERONE,0.7391
HYDROXYPROGESTERONE,CORTODOXONE,0.7755
N-OLEOYLETHANOLAMIDE,PALMIDROL,0.8276
N-OLEOYLETHANOLAMIDE,ANANDAMIDE,0.8182
N-OLEOYLETHANOLAMIDE,"N-DOCOSATETRA-7,10,13,16-ENOYLETHANOLAMINE",0.9062
N-OLEOYLETHANOLAMIDE,SEA,0.8276
LOVASTATIN,MEVASTATIN,0.7727
MOMETASONE,BECLOMETHASONE,0.8621
MOMETASONE,CLOBETASOL,0.7869
OXYPHENCYCLIMINE HYDROCHLORIDE,OXYPHENCYCLIMINE,0.9796
QUINAPRIL HYDROCHLORIDE,MOEXIPRIL,0.7903
QUINAPRIL HYDROCHLORIDE,QUINAPRIL,0.9811
QUINAPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE,0.8065
QUINAPRIL HYDROCHLORIDE,QUINAPRILAT,0.8036
BIPERIDEN HYDROCHLORIDE,BIPERIDEN,0.9756
BIPERIDEN HYDROCHLORIDE,BIPERIDEN LACTATE,0.8
METHANTHELINE BROMIDE,METHANTHELINE,0.9744
INSULIN LISPRO PROTAMINE RECOMBINANT,"INSULIN ASPART PROTAMINE, HUMAN",1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,"INSULIN GLULISINE, HUMAN",1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN TREGOPIL,0.9265
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP EXTENDED BEEF,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP PROMPT BEEF,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP PURIFIED BEEF/PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,DESIRUDIN,0.704
INSULIN LISPRO PROTAMINE RECOMBINANT,"INSULIN [INJECTION], BIPHASIC",1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,"INSULIN, ISOPHANE",0.8744
INSULIN LISPRO PROTAMINE RECOMBINANT,"INSULIN HUMAN, ISOPHANE",1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP ISOPHANE BEEF/PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP PURIFIED BEEF,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,PEGMUSIRUDIN,0.7061
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN DETEMIR,0.9212
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN PURIFIED BEEF,0.8502
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN GLARGINE-YFGN,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP ISOPHANE PURIFIED BEEF,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN PEGLISPRO,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SENSITIZER S-707106,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN DEGLUDEC,0.935
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN PURIFIED PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP PURIFIED PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP PROMPT PURIFIED PORK,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,"INSULIN ZINC, EXTENDED",1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP RECOMBINANT HUMAN,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ASPART PROTAMINE RECOMBINANT,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN LISPRO-AABC,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,1.0
INSULIN LISPRO PROTAMINE RECOMBINANT,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,1.0
ATOMOXETINE HYDROCHLORIDE,[3H]NISOXETINE,0.7105
ATOMOXETINE HYDROCHLORIDE,NISOXETINE HYDROCHLORIDE,0.7368
ATOMOXETINE HYDROCHLORIDE,NISOXETINE,0.7105
ETONOGESTREL,NORGESTREL,0.7069
CODEINE PHOSPHATE,CODEINE SULFATE,0.8596
CODEINE PHOSPHATE,MORPHINE SULFATE,0.7
CODEINE PHOSPHATE,ETHYLMORPHINE,0.7458
ENALAPRIL MALEATE,ENALAPRILAT ANHYDROUS,0.7414
RIFAMPIN,RIFAMYCIN SV,0.7113
UBENIMEX,BESTATIN METHYL ESTER,0.8095
ULIPRISTAL ACETATE,TELAPRISTONE ACETATE,0.8529
TEGLARINAD CHLORIDE,GMX1777,1.0
DAPAGLIFLOZIN PROPANEDIOL,DAPAGLIFLOZIN PROPYLENE GLYCOL,0.8704
ZIDOVUDINE,THYMIDINE,0.7083
ZIDOVUDINE,TELBIVUDINE,0.7083
SNX 5422,SNX-5422,1.0
VOCLOSPORIN,CYCLOSPORIN H,0.8701
4-PHENYLENEDIAMINE,BENZIDINE,0.7273
GALLIUM NITRATE,SODIUM NITRATE,0.75
ADL-5747,ADL5747,1.0
PARNAPARIN SODIUM,TINZAPARIN SODIUM,1.0
PARNAPARIN SODIUM,SEMULOPARIN SODIUM,1.0
PARNAPARIN SODIUM,ARDEPARIN SODIUM,1.0
PARNAPARIN SODIUM,SEMULOPARIN,1.0
PARNAPARIN SODIUM,BEMIPARIN,1.0
PARNAPARIN SODIUM,NADROPARIN CALCIUM,1.0
PARNAPARIN SODIUM,CERTOPARIN SODIUM,1.0
PARNAPARIN SODIUM,BEMIPARIN SODIUM,1.0
AR-67,SN-38,0.7846
AR-67,7-ETHYL-10-HYDROXYCAMPTOTHECIN,0.7846
THERAPEUTIC ANDROSTANOLONE,STANOLONE,1.0
THERAPEUTIC ANDROSTANOLONE,DIHYDROTESTOSTERONE,1.0
ISOQUINE,AMODIAQUINE HYDROCHLORIDE,0.8431
ISOQUINE,AMODIAQUINE,0.86
ISOQUINE,AMODIAQUINE DIHYDROCHLORIDE,0.8431
PHENAMIL METHANESULFONATE,PHENAMIL,0.8837
TRISMETHOXYRESVERATROL,PTEROSTILBENE,0.7407
TRISMETHOXYRESVERATROL,RESVERATROL 4'-METHYL ETHER,0.7037
ISOCHLOROGENIC ACID B,CHLOROGENIC ACID,0.8333
ISOCHLOROGENIC ACID B,"3,5-DICAFFEOYLQUINIC ACID",0.8298
SESAMIN,ASARININ,1.0
NARASIN,SALINOMYCIN,0.8795
TROVAFLOXACIN MESYLATE,ALATROFLOXACIN MESYLATE,0.7297
ANCITABINE,ANCITABINE HYDROCHLORIDE,0.9744
PIMPINELLIN,ISOPIMPINELLIN,0.7879
CYSTAMINE DIHYDROCHLORIDE,CYSTAMINE,0.9091
SULINDAC,K-80003,0.7059
SULINDAC,SULINDAC SULFOXIDE,1.0
CEPHARANTHINE,HERNANDEZINE,0.7042
CEPHARANTHINE,AROMOLINE,0.7042
WARFARIN POTASSIUM,WARFARIN SODIUM,0.9512
RS67506,RS 39604,0.7794
RS67506,RS 67333,0.7097
RS67506,RS-39604,0.7794
LAVENDUSTIN A,LAVENDUSTIN B,0.8889
SALMETEROL,SALMETEROL XINAFOATE,0.7742
(Z)-PIPLARTINE,PIPLARTINE,1.0
NIHYDRAZONE,NITROFURAZONE,0.7436
IODINE I-131,IODINE I 131 MONOCLONAL ANTIBODY 81C6,1.0
IODINE I-131,IODINE I 131 TM-601,1.0
IODINE I-131,IODINE I 131 APAMISTAMAB,1.0
IODINE I-131,IODINE I 131-6-BETA-IODOMETHYL-19-NORCHOLESTEROL,1.0
IODINE I-131,IODINE,1.0
IODINE I-131,IODINE I 124 GIRENTUXIMAB,1.0
IODINE I-131,IODINE I 124 OMBURTAMAB,1.0
DECYLUBIQUINONE,IDEBENONE,0.7273
CASEARINONE A,CASEARINONE B,1.0
GW679410X,GW680975X,0.7391
GW679410X,GW682841X,0.7143
MEXILETINE,(S)-MEXILETINE,1.0
MEXILETINE,MEXILETINE HYDROCHLORIDE,1.0
NOMIFENSINE MALEATE,NOMIFENSINE,0.8049
ISOBAVACHALCONE,XANTHOANGELOL,0.8085
SINENSETIN,NOBILETIN,0.7143
PAC-1,PAC1,1.0
DOXYLAMINE,DOXYLAMINE SUCCINATE,0.8293
GOSSYPOL,GOSSYPOL ACETIC ACID,0.8919
AMG-208,C-MET INHIBITOR AMG 208,1.0
TECTORIGENIN,IRISOLIDONE,0.8372
NORETHINDRONE ACETATE,ETHYNODIOL DIACETATE,0.7119
NYSTATIN,CANDIDIN,0.8256
TNP-470,O-CHLOROACETYLCARBAMOYLFUMAGILLOL,1.0
CETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE,0.9767
CETIRIZINE HYDROCHLORIDE,HYDROXYZINE,0.7292
CETIRIZINE HYDROCHLORIDE,HYDROXYZINE HYDROCHLORIDE,0.75
CETIRIZINE HYDROCHLORIDE,(S)-CETIRIZINE,0.9767
SACITUZUMAB GOVITECAN,LABETUZUMAB GOVITECAN,0.9863
NAFCILLIN,NAFCILLIN SODIUM,0.8333
SELPERCATINIB,RESENCATINIB,0.8734
PLX8394,PLIXORAFENIB,1.0
PLX8394,PLX-8394,1.0
PYRILAMINE,CHLOROPYRAMINE,0.7143
PYRILAMINE,TRIPELENNAMINE,0.7436
PYRILAMINE,[3H]PYRILAMINE,1.0
PYRIDOXAL PHOSPHATE ANHYDROUS,MC-1,1.0
CARIPRAZINE,CARIPRAZINE HYDROCHLORIDE,0.9804
AMOXAPINE,LOXAPINE HYDROCHLORIDE,0.7234
LIDOCAINE,LIDOCAINE HYDROCHLORIDE,0.9667
BUPRENORPHINE,BUPRENORPHINE/NALOXONE,0.75
BUPRENORPHINE,DIPRENORPHINE,0.8788
BUPRENORPHINE,ORP-101,0.831
VALBENAZINE,VALBENAZINE TOSYLATE,0.8182
SELEGILINE,SELEGILINE HYDROCHLORIDE,0.9655
SN-38,KARENITECIN,0.7164
SN-38,HYDROXYCAMPTOTHECIN,0.7188
SN-38,7-ETHYL-10-HYDROXYCAMPTOTHECIN,1.0
CLOMIPHENE,ENCLOMIPHENE,1.0
ARTEMOTIL,ARTEMETHER,0.7955
PROGUANIL,CHLORPROGUANIL,0.7105
ATL1102,INOTERSEN,0.9533
ATL1102,CUSTIRSEN SODIUM,0.7951
ATL1102,MIPOMERSEN,0.7236
ATL1102,NUSINERSEN,0.8505
ATL1102,APRINOCARSEN,0.7009
ATL1102,VOLANESORSEN,0.9533
ATL1102,TOFERSEN,0.964
ATL1102,LY2181308,0.8509
ATL1102,BAZLITORAN,0.7385
ATL1102,CUSTIRSEN,0.8783
PICROPODOPHYLLIN,4'-DEMETHYLEPIPODOPHYLLOTOXIN,0.84
GS9667,GS-9667,1.0
ICATIBANT,ICATIBANT ACETATE,0.9732
ICATIBANT,B-9430,0.7333
SALMON CALCITONIN,DAVALINTIDE,0.8036
SALMON CALCITONIN,CALCITONIN,1.0
SALMON CALCITONIN,SMC021,1.0
SALMON CALCITONIN,CALCITONIN GENE-RELATED PEPTIDE,1.0
LERCANIDIPINE,LERCANIDIPINE HYDROCHLORIDE,0.9846
TESAMORELIN,PACAP-38,0.7059
TESAMORELIN,SERMORELIN,0.8571
TESAMORELIN,"[ALA11,22,28]VIP",0.7252
TESAMORELIN,SERMORELIN ACETATE,0.85
TESAMORELIN,TESAMORELIN ACETATE,0.9826
EDROPHONIUM CATION,EDROPHONIUM CHLORIDE,0.96
FLUPENTHIXOL,ZUCLOPENTHIXOL,0.7255
MEPENZOLATE,PIPENZOLATE,0.7727
MEPENZOLATE,MEPENZOLATE BROMIDE,0.9737
NAFARELIN,LEUPROLIDE ACETATE,0.8374
NAFARELIN,GONADORELIN HYDROCHLORIDE,0.9083
NAFARELIN,GONADORELIN,0.916
NAFARELIN,BUSERELIN,0.7923
NAFARELIN,FERTIRELIN,0.8537
NAFARELIN,[TRP8]GNRH,0.8083
NAFARELIN,GOSERELIN ACETATE,0.7652
NAFARELIN,[GLN8]GNRH,0.8115
NAFARELIN,LEUPROLIDE MESYLATE,0.8374
NAFARELIN,DESLORELIN,0.8583
NAFARELIN,[SER8]GNRH,0.8083
NAFARELIN,NAFARELIN ACETATE,0.9748
NAFARELIN,"[125I]GNRH I (HUMAN, MOUSE, RAT)",0.916
NAFARELIN,BUSERELIN ACETATE,0.7803
NAFARELIN,LUTEINIZING HORMONE,0.8934
NAFARELIN,TRIPTORELIN,0.931
NAFARELIN,GNRH I,0.8151
NAFARELIN,TRIPTORELIN PAMOATE,0.8605
OXPRENOLOL,OXPRENOLOL HYDROCHLORIDE,0.9722
OXPRENOLOL,ALPRENOLOL HYDROCHLORIDE,0.7209
THIAMYLAL,THIOPENTAL,0.7059
THIAMYLAL,SECOBARBITAL,0.7941
HYDROCORTAMATE,HYDROCORTISONE SODIUM SUCCINATE,0.7429
HYDROCORTAMATE,HYDROCORTISONE ACETATE,0.7692
HYDROCORTAMATE,HYDROCORTAMATE HYDROCHLORIDE,0.9839
HYDROCORTAMATE,HYDROCORTISONE HEMISUCCINATE,0.7647
PROPOXYPHENE,PROPOXYPHENE NAPSYLATE,0.7273
PROPOXYPHENE,LEVOPROPOXYPHENE NAPSYLATE ANHYDROUS,0.7273
PROPOXYPHENE,PROPOXYPHENE HYDROCHLORIDE,0.9756
GDC-0425,RG-7602,1.0
XALIPRODEN,PALIRODEN,0.78
TINOSTAMUSTINE,BENDAMUSTINE,0.7273
ANDROGEN RECEPTOR ANTAGONIST TAS3681,TESTOSTERONE BUCYCLATE,0.7097
ANDROGEN RECEPTOR ANTAGONIST TAS3681,TESTOSTERONE CYPIONATE,0.7586
